l,Variant,Run,Runtime
8192,indirect,29,0.0004832941599670448
4194304,indirect,4,0.507431041000018
128,keyvalue,23,1.6215915999055142e-06
16,indirect,30,7.149249999808186e-07
1024,indirect,8,1.2952500001119915e-05
16384,indirect,14,0.0010945483200339367
4,direct,11,3.702566799984197e-07
16,indirect,36,7.313944333873224e-07
16,direct,6,4.4142499997785006e-07
32,indirect,13,8.599521000178357e-07
64,keyvalue,19,1.029545799974585e-06
64,indirect,16,1.1436499999035732e-06
4096,keyvalue,13,0.00014371166998898842
64,keyvalue,30,1.0467249998328043e-06
4096,direct,21,0.0001756470799955423
32,keyvalue,5,8.076999999502731e-07
32768,indirect,18,0.002440277749883535
64,indirect,34,1.1085959000411095e-06
16384,direct,1,0.0009154983200278366
8192,keyvalue,27,0.00044322334000753474
8,keyvalue,32,6.439333199887187e-07
8,direct,34,3.7939331999950807e-07
128,direct,38,1.2072000001353445e-06
64,keyvalue,35,1.060308300111501e-06
4096,indirect,23,0.00020391000000017813
256,direct,38,2.2411669997381978e-06
1024,keyvalue,27,1.1094500001490814e-05
16384,keyvalue,24,0.0009727083199686604
16384,indirect,3,0.0011270966400479664
4194304,keyvalue,5,0.37160933400082286
32,keyvalue,33,8.159666499523155e-07
16384,keyvalue,30,0.000957031680009095
32,direct,28,5.385062499954074e-07
512,direct,9,4.5367910006461895e-06
65536,keyvalue,2,0.0044159374998950325
128,direct,32,1.198708199808607e-06
16384,keyvalue,10,0.0009388949999993201
16384,indirect,11,0.00108790668004076
4194304,keyvalue,9,0.3798374160014646
512,direct,23,4.659250000258908e-06
128,keyvalue,5,1.624358399931225e-06
8,keyvalue,8,6.426316600118298e-07
64,keyvalue,28,1.0186583000177051e-06
128,direct,17,1.2614667997695505e-06
1024,keyvalue,5,1.1100832001829986e-05
256,indirect,10,3.0842914993627347e-06
65536,direct,6,0.004091805666575965
512,direct,3,4.5192920006229545e-06
32,indirect,18,7.998000000043248e-07
16384,direct,30,0.0008782433199667139
16384,direct,33,0.000851076640028623
256,keyvalue,8,2.7826040004583773e-06
64,direct,10,7.424333998642396e-07
1024,indirect,25,1.23253339988878e-05
8192,indirect,25,0.0005100441600006889
256,direct,26,2.200708499913162e-06
256,keyvalue,20,2.749374999439169e-06
65536,keyvalue,1,0.004316215166606223
1024,indirect,18,1.3686834001418901e-05
32768,direct,37,0.001944850666707983
