Series length,Number of samples,Estimator,Runtime_multi,Runtime_per_sample
64,2,moment_quant_approx_samples,0.0175267919985344,0.0087633959992672
64,3,moment_quant_approx_samples,0.0175908749988593,0.005863624999619767
64,4,moment_quant_approx_samples,0.0175983749977604,0.0043995937494401
64,8,moment_quant_approx_samples,0.0176182499999413,0.0022022812499926624
64,10,moment_quant_approx_samples,0.0177530420005496,0.00177530420005496
64,16,moment_quant_approx_samples,0.0176864999993995,0.0011054062499624687
64,30,moment_quant_approx_samples,0.01801712499946,0.0006005708333153333
64,32,moment_quant_approx_samples,0.018035167002381,0.0005635989688244062
64,64,moment_quant_approx_samples,0.0183838330012804,0.0002872473906450063
64,100,moment_quant_approx_samples,0.0191922079975483,0.000191922079975483
64,300,moment_quant_approx_samples,0.0234118750013294,7.803958333776466e-05
64,1000,moment_quant_approx_samples,0.037141499997233,3.7141499997233e-05
64,3000,moment_quant_approx_samples,0.0738628750004863,2.4620958333495434e-05
64,10000,moment_quant_approx_samples,0.206405665998318,2.06405665998318e-05
128,1,moment_quant_approx_samples,0.0179124590031278,0.0179124590031278
128,2,moment_quant_approx_samples,0.0185547089968167,0.00927735449840835
128,3,moment_quant_approx_samples,0.0185272919989074,0.006175763999635799
128,4,moment_quant_approx_samples,0.0185898339987033,0.004647458499675825
128,8,moment_quant_approx_samples,0.0186700000012933,0.0023337500001616627
128,10,moment_quant_approx_samples,0.0187624159989354,0.00187624159989354
128,16,moment_quant_approx_samples,0.0189182499998423,0.0011823906249901438
128,30,moment_quant_approx_samples,0.0192250000000058,0.0006408333333335266
128,32,moment_quant_approx_samples,0.0192486250016372,0.0006015195313011625
128,64,moment_quant_approx_samples,0.0201157089977641,0.00031430795309006406
128,100,moment_quant_approx_samples,0.021106874999532,0.00021106874999532
128,300,moment_quant_approx_samples,0.0273407500026223,9.113583334207433e-05
128,1000,moment_quant_approx_samples,0.0452136669991887,4.52136669991887e-05
128,3000,moment_quant_approx_samples,0.1007272919996467,3.3575763999882235e-05
128,10000,moment_quant_approx_samples,0.3617227909999201,3.617227909999201e-05
192,1,moment_quant_approx_samples,0.013527958002669,0.013527958002669
192,2,moment_quant_approx_samples,0.0139952909994462,0.0069976454997231
192,3,moment_quant_approx_samples,0.0141633749990432,0.004721124999681066
192,4,moment_quant_approx_samples,0.0141818749980302,0.00354546874950755
192,8,moment_quant_approx_samples,0.014337249998789,0.001792156249848625
192,10,moment_quant_approx_samples,0.0144055829987337,0.00144055829987337
192,16,moment_quant_approx_samples,0.0145967909993487,0.0009122994374592937
192,30,moment_quant_approx_samples,0.0149814579999656,0.0004993819333321866
192,32,moment_quant_approx_samples,0.0150258329995267,0.0004695572812352094
192,64,moment_quant_approx_samples,0.0160029999969992,0.0002500468749531125
192,100,moment_quant_approx_samples,0.0175375420003547,0.000175375420003547
192,300,moment_quant_approx_samples,0.0255756250007834,8.525208333594466e-05
192,1000,moment_quant_approx_samples,0.0468236250017071,4.68236250017071e-05
192,3000,moment_quant_approx_samples,0.115418707999197,3.8472902666399e-05
192,10000,moment_quant_approx_samples,0.4304597080008534,4.3045970800085345e-05
256,1,moment_quant_approx_samples,0.0137349579999863,0.0137349579999863
256,2,moment_quant_approx_samples,0.0142862089996924,0.0071431044998462
256,3,moment_quant_approx_samples,0.0144324169996252,0.004810805666541734
256,4,moment_quant_approx_samples,0.0145103750000998,0.00362759375002495
256,8,moment_quant_approx_samples,0.0146742920005635,0.0018342865000704374
256,10,moment_quant_approx_samples,0.0147513749980134,0.0014751374998013401
