Dtype,l,Method,Run,Runtime
float32,256,sort,5,4.796083499968518e-06
float32,128,argsort,7,3.3366750001732726e-06
float64,4096,argsort,4,0.00016420042000390823
float64,16,argsort,5,2.6680819333705586e-06
float32,16,argsort,0,2.621980533331225e-06
float32,4,sort,1,2.6824324999688543e-06
float32,16,sort,4,2.7309208332856844e-06
float32,8192,argsort,1,0.00038498832000186665
float64,4096,sort,5,0.00018272709001394106
float64,16,sort,4,2.7473986000283427e-06
float32,32,argsort,9,2.703243750056572e-06
float32,32768,sort,2,0.0019091075832875504
float32,256,sort,7,4.627895499652368e-06
float32,256,sort,4,4.92156249947584e-06
float64,32,sort,9,2.7741812499698427e-06
float64,32768,sort,0,0.001976579833353753
float64,32768,sort,9,0.0019840208333334886
float64,16384,argsort,5,0.0008847983199666487
float64,32,sort,3,2.8036228999553713e-06
float32,64,sort,2,3.0610917001467897e-06
float32,4,sort,7,2.712977499977569e-06
float64,8192,sort,0,0.0004127274999700603
float64,1024,sort,9,2.2302416000457014e-05
float64,128,argsort,9,3.3010416002070995e-06
float64,512,argsort,2,7.364125000094645e-06
float64,8,sort,3,2.699236680018657e-06
float32,2048,sort,1,2.937104000011459e-05
float64,1024,sort,6,1.412374999927124e-05
float64,8192,sort,8,0.000396722499972384
float64,4096,sort,9,0.0001752916700024798
float64,256,sort,4,4.7386460000780065e-06
float64,4,sort,4,2.6483350000125937e-06
float64,8,argsort,7,2.6150166600200466e-06
float32,1024,argsort,6,1.3527334001992131e-05
float32,8,sort,3,2.715489179972792e-06
float32,2048,argsort,8,2.757582999947772e-05
float64,4,argsort,8,2.604991660009546e-06
float64,32,argsort,6,2.6907749999736552e-06
float32,16,argsort,3,2.5883527666640777e-06
float64,512,sort,7,7.761667000522721e-06
float64,32768,argsort,3,0.0020213090832233624
float32,4096,sort,1,0.0001766141700136359
float32,2048,argsort,1,7.621708499755186e-05
float64,64,argsort,8,2.9665707999811273e-06
float32,256,sort,3,4.6852704999764686e-06
float64,4096,argsort,0,0.00016908040999624063
float64,32,argsort,3,2.6269437500559434e-06
float64,2048,sort,2,5.3381039997475454e-05
float64,4,argsort,1,2.5692833200082532e-06
float32,2048,sort,6,2.778874999421532e-05
float64,4,sort,0,2.656837499998801e-06
float32,32,argsort,0,2.657764600007795e-06
float64,8,sort,5,2.707654160003585e-06
float32,1024,argsort,4,1.3304167998285266e-05
float32,8192,argsort,0,0.00037983250000252157
float64,16384,argsort,9,0.0009339583200198831
float32,4096,sort,2,0.00017155249999632361
float32,128,argsort,8,8.344216600016807e-06
float64,16,argsort,1,2.730077766621738e-06
float32,256,argsort,7,4.543000000012398e-06
float64,1024,sort,1,1.4108250001299894e-05
float64,256,sort,7,4.684354499659094e-06
float32,16384,argsort,1,0.0008641950000310317
float64,8192,sort,9,0.0003989983400242636
float64,8192,argsort,3,0.0003962383399993996
