Dataset,SeriesLength,LengthBin,Estimator,Stage,MeanTime,PctOfTotal
BirdChicken,512,Medium-long,moment_quant_exact,Transformation (training),0.014497855599620324,12.00292563974122
BirdChicken,512,Medium-long,quant,Classification (inference),0.004734504166844953,3.0460792943453354
BirdChicken,512,Medium-long,quant,Classification (training),0.09009499030071307,57.96520074923259
BirdChicken,512,Medium-long,quant,Transformation (inference),0.02985149579932714,19.205817558750276
BirdChicken,512,Medium-long,quant,Transformation (training),0.030748455566451057,19.782902397671794
CBF,128,Short,moment_quant_approx,Classification (inference),0.008853513965732362,5.4599325019104565
CBF,128,Short,moment_quant_approx,Classification (training),0.07739825696698968,47.73124664860997
CBF,128,Short,moment_quant_approx,Transformation (inference),0.05532755416667589,34.12031792292503
CBF,128,Short,moment_quant_approx,Transformation (training),0.0205749499330219,12.688502926554547
CBF,128,Short,moment_quant_exact,Classification (inference),0.00925731383370774,3.1082137905595895
CBF,128,Short,moment_quant_exact,Classification (training),0.0814744876004018,27.355681192987856
CBF,128,Short,moment_quant_exact,Transformation (inference),0.1977867555666307,66.40841309751893
CBF,128,Short,moment_quant_exact,Transformation (training),0.009315326299838438,3.127691918933637
CBF,128,Short,quant,Classification (inference),0.00922592229981087,4.645008416989985
CBF,128,Short,quant,Classification (training),0.07998386519975606,40.269765450319845
CBF,128,Short,quant,Transformation (inference),0.08612958196681571,43.363971664479465
CBF,128,Short,quant,Transformation (training),0.02328077223379897,11.721254468210706
Car,577,Medium-long,moment_quant_approx,Classification (inference),0.005422112467446469,1.4409878208959517
Car,577,Medium-long,moment_quant_approx,Classification (training),0.2984754833341867,79.32324143087168
Car,577,Medium-long,moment_quant_approx,Transformation (inference),0.03521853749965274,9.35972536745762
Car,577,Medium-long,moment_quant_approx,Transformation (training),0.03716133336565686,9.876045380774752
Car,577,Medium-long,moment_quant_exact,Classification (inference),0.0053420764333471,1.4657382904895293
Car,577,Medium-long,moment_quant_exact,Classification (training),0.28660526390061325,78.63764489265783
Car,577,Medium-long,moment_quant_exact,Transformation (inference),0.03399987636682147,9.328754705131761
Car,577,Medium-long,moment_quant_exact,Transformation (training),0.038515966666212334,10.567862111720869
Car,577,Medium-long,quant,Classification (inference),0.005389499933759553,1.3935719270798317
Car,577,Medium-long,quant,Classification (training),0.2867200763001165,74.13768516057948
Car,577,Medium-long,quant,Transformation (inference),0.04673047369966899,12.083176006567603
Car,577,Medium-long,quant,Transformation (training),0.04789994023352237,12.38556690577308
Chinatown,24,Short,moment_quant_approx,Classification (inference),0.005423781733649427,7.109043882580939
Chinatown,24,Short,moment_quant_approx,Classification (training),0.05675230013318162,74.38621461869285
Chinatown,24,Short,moment_quant_approx,Transformation (inference),0.00835812369962994,10.955136300576944
Chinatown,24,Short,moment_quant_approx,Transformation (training),0.005759904066750653,7.549605198149275
Chinatown,24,Short,moment_quant_exact,Classification (inference),0.005703515166775657,6.970421504095744
Chinatown,24,Short,moment_quant_exact,Classification (training),0.059519366633564115,72.7402419317653
Chinatown,24,Short,moment_quant_exact,Transformation (inference),0.014738219533076764,18.0119802194756
Chinatown,24,Short,moment_quant_exact,Transformation (training),0.0018634362992694235,2.277356344663349
Chinatown,24,Short,quant,Classification (inference),0.00548178066649896,7.234331538549554
Chinatown,24,Short,quant,Classification (training),0.056917038965426964,75.11368205313808
Chinatown,24,Short,quant,Transformation (inference),0.007090729067325157,9.357668254870552
Chinatown,24,Short,quant,Transformation (training),0.006284980533867643,8.294318153441816
