Series length,Number of samples,Estimator,Run,Runtime
9,100,quant_float64,8,0.0016959169952315278
9,100,quant_float64,9,0.0017050419992301613
9,300,quant_float64,0,0.001981916997465305
9,300,quant_float64,1,0.001998125000682194
9,300,quant_float64,2,0.001986374998523388
9,300,quant_float64,3,0.002023291999648791
9,300,quant_float64,4,0.0019377499993424863
9,300,quant_float64,5,0.0019193749976693653
9,300,quant_float64,6,0.0019176670029992238
9,300,quant_float64,7,0.0019138749994453974
9,300,quant_float64,8,0.0019444170029601082
9,300,quant_float64,9,0.0019110829962301068
9,1000,quant_float64,0,0.002906333000282757
9,1000,quant_float64,1,0.0028294169969740324
9,1000,quant_float64,2,0.0030789160009589978
9,1000,quant_float64,3,0.0028822919994127005
9,1000,quant_float64,4,0.002846542003680952
9,1000,quant_float64,5,0.0028609169967239723
9,1000,quant_float64,6,0.0028503330031526275
9,1000,quant_float64,7,0.0028387499987729825
9,1000,quant_float64,8,0.0028311249989201315
9,1000,quant_float64,9,0.0028387080019456334
9,3000,quant_float64,0,0.005736457998864353
9,3000,quant_float64,1,0.005816374999994878
9,3000,quant_float64,2,0.005784083004982676
9,3000,quant_float64,3,0.005708417003916111
9,3000,quant_float64,4,0.005766041998867877
9,3000,quant_float64,5,0.005695499996363651
9,3000,quant_float64,6,0.005772292002802715
9,3000,quant_float64,7,0.00573712500045076
9,3000,quant_float64,8,0.0057447079962003045
9,3000,quant_float64,9,0.005734582999139093
9,10000,quant_float64,0,0.01602741600072477
9,10000,quant_float64,1,0.016131167001731228
9,10000,quant_float64,2,0.016144708002684638
9,10000,quant_float64,3,0.016430167001090012
9,10000,quant_float64,4,0.016013625005143695
9,10000,quant_float64,5,0.016536165996512864
9,10000,quant_float64,6,0.01608775000204332
9,10000,quant_float64,7,0.016533334004634526
9,10000,quant_float64,8,0.016082290996564552
9,10000,quant_float64,9,0.01653529200120829
14,1,quant_float64,0,0.0026854579991777427
14,1,quant_float64,1,0.002685250001377426
14,1,quant_float64,2,0.0028661249962169677
14,1,quant_float64,3,0.0028405420016497374
14,1,quant_float64,4,0.002794499996525701
14,1,quant_float64,5,0.002779084003122989
14,1,quant_float64,6,0.0027550840022740886
14,1,quant_float64,7,0.00277920799999265
14,1,quant_float64,8,0.002730374995735474
14,1,quant_float64,9,0.0027624169961200096
14,3,quant_float64,0,0.0029204580059740692
14,3,quant_float64,1,0.0029203750018496066
14,3,quant_float64,2,0.0029247920028865337
14,3,quant_float64,3,0.0027995000054943375
14,3,quant_float64,4,0.00295979200018337
14,3,quant_float64,5,0.0029125419969204813
14,3,quant_float64,6,0.0029088340015732683
14,3,quant_float64,7,0.002930000002379529
14,3,quant_float64,8,0.0029042919995845295
14,3,quant_float64,9,0.0029093749981257133
14,10,quant_float64,0,0.002938165998784825
14,10,quant_float64,1,0.00291829200432403
14,10,quant_float64,2,0.002944958003354259
14,10,quant_float64,3,0.0029218749987194315
14,10,quant_float64,4,0.002930540998931974
14,10,quant_float64,5,0.002920666003774386
14,10,quant_float64,6,0.0029079169980832376
14,10,quant_float64,7,0.0028997909976169467
14,10,quant_float64,8,0.0029074999984004535
14,10,quant_float64,9,0.0029397920006886125
14,30,quant_float64,0,0.003053667001950089
14,30,quant_float64,1,0.003024833000381477
14,30,quant_float64,2,0.0029640419961651787
14,30,quant_float64,3,0.002885791996959597
14,30,quant_float64,4,0.002856750004866626
14,30,quant_float64,5,0.002865416005079169
14,30,quant_float64,6,0.0028666250000242144
14,30,quant_float64,7,0.0028575420001288876
14,30,quant_float64,8,0.002854749996913597
14,30,quant_float64,9,0.002861541994207073
14,100,quant_float64,0,0.0032169580008485354
14,100,quant_float64,1,0.0030777089996263385
14,100,quant_float64,2,0.0032150839979294688
14,100,quant_float64,3,0.0030677500035380945
14,100,quant_float64,4,0.0030176250002114102
14,100,quant_float64,5,0.0030867090026731603
14,100,quant_float64,6,0.003187624999554828
14,100,quant_float64,7,0.003077000001212582
14,100,quant_float64,8,0.003078667003137525
14,100,quant_float64,9,0.00307204200362321
14,300,quant_float64,0,0.003683875002025161
14,300,quant_float64,1,0.003715375001775101
14,300,quant_float64,2,0.003693792001286056
14,300,quant_float64,3,0.0036293339944677427
14,300,quant_float64,4,0.003630833001807332
14,300,quant_float64,5,0.003638624999439344
14,300,quant_float64,6,0.003640832997916732
14,300,quant_float64,7,0.0036768330028280616
14,300,quant_float64,8,0.0036730409992742352
14,300,quant_float64,9,0.0036821250032517128
14,1000,quant_float64,0,0.005916624999372289
14,1000,quant_float64,1,0.005900332995224744
